controller,scenario,position_rmse_m,final_error_m,mean_squared_action,success_rate,mean_duration_s
PID,nominal,0.06732709913646533,4.736892032212392e-06,0.6678503989412801,1.0,10.0
PID,wind_impulse,0.06911271298979198,1.4259262740651964e-05,0.6678831195625582,1.0,10.0
PID,mass_plus_20pct,0.4692505189499416,0.49033606052410805,0.9610382298929444,1.0,10.0
PPO (BC+RL),nominal,0.21302723801080892,0.20776096421586554,0.6681209802627563,1.0,10.0
PPO (BC+RL),wind_impulse,0.20729388680284097,0.2082306539061446,0.668135424455007,1.0,10.0
PPO (BC+RL),mass_plus_20pct,0.5906765496476876,0.6136212313508692,0.9616442521413168,1.0,10.0
