#{"t_start": 1787344792.9093983, "env_id": "None"}
r,l,t
332.677673,447,3.619071
369.968108,425,4.283171
346.589539,478,5.318891
253.285332,356,5.896245
472.94648,444,6.986669
355.381672,383,7.615378
379.119442,395,8.219568
339.338226,345,9.056092
336.5146,341,9.61784
564.383774,475,10.373254
298.608106,305,11.127676
428.263888,485,11.885918
405.7597,360,12.721963
415.572714,407,13.34222
618.050012,513,14.398752
460.105423,390,15.013949
555.463164,537,15.852807
431.222031,353,16.683009
395.739951,372,17.250812
388.128196,388,18.108267
445.807015,477,18.864588
618.217949,513,19.660035
629.297089,778,21.17244
374.515633,389,27.225607
514.555811,421,27.866187
370.701495,452,28.590204
741.662615,652,29.888779
547.563861,460,30.914072
232.591759,362,31.475874
548.604403,508,32.275652
462.622119,421,33.209825
559.645995,449,33.892283
515.387077,388,34.815425
312.509347,316,35.316362
628.094148,524,36.21902
437.592347,357,37.129702
427.389709,328,37.67183
303.919228,314,38.156754
324.967117,319,38.931042
250.67006,282,39.393654
446.282884,383,39.973617
414.675002,377,40.828972
660.44544,548,41.673642
429.847454,389,42.539845
222.359989,319,43.035393
395.270076,348,43.58525
425.293188,376,44.45504
725.807502,537,50.310901
884.425677,698,51.681759
418.221774,376,52.263261
1205.230999,900,53.942705
466.643505,454,54.913103
1318.118527,912,56.297594
584.053811,485,57.318403
710.019049,596,58.505306
512.933422,507,59.286345
916.71155,751,60.716954
612.568836,489,61.473214
429.000564,420,62.410303
545.615432,497,63.172193
1043.514069,778,64.666417
1378.306665,1000,66.573089
804.230061,678,67.974159
373.026514,365,74.333522
632.018836,515,75.127226
424.419126,352,76.02588
1226.085432,977,78.078346
815.55428,711,79.196912
725.626587,539,80.32054
835.918933,670,81.694077
769.744143,573,82.677679
777.630541,908,84.367699
576.778426,529,85.601602
435.828278,471,86.407887
421.025303,470,87.174916
388.929697,402,88.147688
316.577769,400,88.837888
334.717724,429,89.828778
393.23297,406,90.521972
458.627823,511,91.757714
533.441993,584,92.737789
299.218176,386,93.40541
454.377363,428,103.25018
904.01897,694,104.829849
1027.854415,855,106.29009
382.809492,382,107.31512
846.088948,738,109.027746
294.55809,349,109.601808
910.133945,784,111.375526
1198.318286,1000,113.3795
674.424567,801,114.607918
717.542636,611,115.851276
846.502614,727,117.262116
616.356726,530,118.083998
617.189489,592,119.277764
532.325957,500,120.133451
583.134098,590,121.677697
