#{"t_start": 1787343965.7168682, "env_id": "None"}
r,l,t
221.344309,560,97.655186
122.898281,393,98.611134
183.633626,436,99.326481
78.605471,461,100.041261
159.785428,500,101.142953
169.486887,462,101.956714
332.943208,556,103.173011
59.777131,396,103.891536
125.716913,360,104.793134
149.682483,455,105.520932
-6.620701,240,105.971274
53.253241,354,106.926335
27.843506,304,107.411272
-18.585891,263,107.831028
78.804091,364,108.726594
61.408746,342,109.307743
25.649769,265,109.771132
133.43564,363,110.633921
31.04791,313,111.190898
134.666471,349,111.746532
82.577689,461,112.835275
56.064698,299,113.423623
298.43603,501,114.373828
170.080423,365,115.254777
423.862925,578,116.240963
82.587096,312,117.051449
16.005631,296,117.541278
131.508624,374,118.171992
-3.550377,250,118.916724
237.331164,475,119.670033
94.353411,502,120.830931
238.935731,499,121.614784
231.514806,422,122.318667
163.841152,381,123.241777
110.873145,329,123.781188
102.997493,501,124.938979
199.712087,559,125.838016
10.251565,252,126.226173
225.65933,561,127.407161
213.980609,568,128.648989
153.097155,531,129.505011
115.30958,409,130.162888
31.139041,363,131.049448
98.843667,497,131.852973
153.648946,541,133.010987
-30.710172,221,133.350993
165.851352,594,134.618808
31.875635,355,135.164614
180.943921,497,135.951771
153.79627,475,136.99551
122.276717,367,137.597996
224.048143,440,138.673596
104.535524,360,139.276885
45.006281,407,139.987959
61.528838,431,140.941108
104.871203,560,141.808312
42.400748,457,142.824939
142.432379,448,143.687265
118.990002,420,144.747314
63.593253,375,145.351439
225.52372,886,147.087532
67.769208,442,147.834965
104.650005,514,148.953233
-2.616089,370,149.545621
-3.519749,323,150.371209
90.004632,384,150.983592
52.241818,394,151.659054
134.355902,355,152.525284
146.746031,397,153.133246
146.974514,400,153.816605
122.844437,414,154.790782
104.137256,398,155.441097
30.049918,362,156.366665
70.111223,467,157.140918
127.539623,376,157.777174
146.316777,376,158.681154
154.03623,377,159.30425
117.463908,379,159.941309
60.910559,372,160.863341
100.69711,405,161.522368
111.184706,372,162.458446
126.14613,417,163.105346
71.290179,428,163.826911
67.084684,294,164.61411
85.588141,453,165.390837
122.060595,398,166.387381
57.98444,314,166.881886
129.084221,400,167.579168
117.192678,346,168.452445
74.129586,352,169.019662
69.554151,309,169.5532
27.902626,345,170.403523
34.86492,403,171.127095
111.405829,328,171.661083
71.770035,308,172.428667
38.778531,364,173.073081
54.575169,297,173.655393
83.724427,419,174.696748
56.936149,306,175.209415
89.332805,331,175.765932
110.85755,345,176.668261
74.192694,331,177.20109
51.393402,314,177.723311
115.655743,381,178.645463
88.714883,330,179.198813
63.463157,304,179.715255
37.977154,278,180.143891
77.553797,314,180.92118
64.067681,271,181.344262
33.828097,377,181.941149
97.844948,302,182.725246
48.270232,304,183.217869
47.722318,286,183.715204
58.097895,269,184.477013
75.368315,279,184.925072
90.416124,339,185.451491
33.850392,288,185.889218
88.859022,281,186.617162
89.379404,299,187.058835
55.13674,334,187.561476
86.044693,349,188.376914
84.273872,281,188.795178
98.526859,307,189.250912
83.014991,291,189.973847
83.807009,301,190.428689
60.171476,356,190.963163
89.420013,309,191.42547
79.852842,291,192.177161
71.947052,300,192.62434
88.965016,294,193.069114
85.851356,296,193.800987
61.761419,293,194.237064
101.885913,305,194.69601
26.742868,359,195.531255
93.792594,297,195.982831
97.464298,303,196.43713
73.584027,286,196.873374
85.842034,302,197.620017
58.021199,336,198.11925
95.621726,303,198.581258
88.425276,294,199.313019
78.328098,303,199.776322
81.579085,286,200.201502
90.026626,292,200.897177
106.456115,308,201.371564
62.826634,287,201.811566
93.120225,299,202.277894
97.25036,281,203.063258
73.936185,287,203.591009
95.741036,291,204.123166
69.111375,300,204.861019
80.31049,275,205.303166
46.992146,296,205.768673
57.876758,277,206.210895
95.366455,291,206.962512
91.531959,280,207.383369
93.175738,282,207.816868
78.986106,259,208.212265
71.052898,256,208.883854
91.520361,290,209.320779
64.588305,303,209.801544
79.395261,314,210.570731
87.843973,431,211.233582
47.073159,364,211.783965
36.623946,286,212.497174
85.128642,273,212.902244
69.639269,321,213.390922
52.677932,297,213.851268
56.651922,402,214.761107
28.350033,310,215.22523
75.551103,314,215.708999
69.777835,271,216.422582
37.459448,279,216.877828
64.172934,296,217.396507
75.811522,287,218.211095
39.887006,333,218.720889
61.851637,268,219.190924
65.135872,260,219.592726
61.760877,288,220.321575
33.96487,288,220.756052
57.764122,268,221.175878
60.045303,275,221.907814
42.557994,288,222.362576
52.497508,328,222.863594
62.856876,245,223.233231
83.417058,287,223.950725
55.797355,259,224.341192
43.472477,274,224.761176
60.224607,306,225.224438
86.70467,296,225.961121
66.741791,282,226.391105
43.566071,274,226.811038
28.205437,254,227.514235
59.380085,292,227.971578
65.98858,239,228.344415
70.369203,257,228.731193
76.830099,274,229.462106
46.931106,236,229.825326
74.839609,273,230.251036
77.618136,267,230.659125
75.205038,247,231.327595
66.954011,244,231.710974
61.3358,241,232.076798
44.707593,256,232.464174
71.270757,255,233.203834
40.068814,234,233.593311
63.857409,254,234.05106
55.522339,246,234.484319
54.55722,236,235.118016
61.245233,231,235.482861
53.536871,236,235.838162
33.175124,248,236.227656
54.831446,233,236.646461
27.615937,229,237.291096
38.491841,229,237.640885
52.565158,222,237.980783
51.424325,231,238.32529
58.860602,240,239.007916
63.185445,238,239.381057
66.076784,264,239.784544
36.702643,238,240.140753
63.320541,249,240.805917
56.102123,304,241.278047
48.623348,240,241.641135
78.280605,271,242.050997
44.710673,231,242.688534
60.920081,234,243.051188
72.930769,242,243.420907
54.846996,264,243.820986
48.448145,236,244.192777
75.353593,237,244.866893
66.899761,249,245.247453
44.913489,283,245.792083
77.524844,255,246.220906
80.894324,240,246.866086
53.523526,268,247.286435
73.221265,274,247.710888
-12.621987,256,248.359017
56.986402,273,248.804962
83.164259,278,249.227946
46.70626,247,249.605077
64.382729,278,250.304666
-2.207762,304,250.77929
78.981149,331,251.280734
109.995587,327,251.775426
4.649349,265,252.473375
75.242954,263,252.870754
109.48502,278,253.291161
8.246082,327,254.090845
-37.21656,153,254.321532
108.367529,308,254.794753
87.621245,272,255.211578
64.454749,312,255.976306
-38.719127,148,256.191094
4.247858,297,256.663224
-30.20882,176,256.928854
89.891413,268,257.334079
-25.07863,176,257.887029
-40.452978,140,258.090703
-57.047515,104,258.246996
-46.399767,131,258.445044
-26.059246,190,258.73678
98.970458,312,259.486963
11.833565,334,260.010818
-14.561029,233,260.365132
62.369156,289,260.804752
39.698307,300,261.556684
75.051159,289,262.001006
65.997954,293,262.446755
6.996686,250,262.853209
5.591614,297,263.699812
64.857336,271,264.182664
57.265305,327,264.724807
-1.36914,303,265.499152
59.293035,305,265.964446
85.092292,296,266.418122
85.324269,285,266.857267
89.920348,302,267.623144
92.654306,323,268.113529
116.286722,336,268.632957
81.236849,352,269.445565
8.251466,274,269.855003
111.869814,276,270.270984
150.996447,327,271.070962
100.26033,290,271.511038
120.859069,303,271.968851
100.481859,302,272.682986
114.512693,337,273.212711
77.025322,278,273.639316
100.884204,292,274.07859
100.872106,306,274.861361
100.785871,272,275.268189
78.956315,294,275.710817
51.084977,362,276.549044
70.511422,285,276.966896
77.525696,256,277.351333
100.511618,370,277.902186
81.90103,265,278.631951
81.424577,318,279.110853
118.431706,302,279.570704
79.82462,291,280.295832
101.888408,292,280.73726
107.521524,303,281.214335
113.570803,302,282.095625
111.59084,329,282.631323
100.951219,292,283.068753
111.188311,280,283.493388
111.420433,307,284.241756
118.153303,345,284.76133
92.012504,285,285.192892
90.324963,337,286.040133
101.41832,294,286.472284
113.771178,336,286.990968
70.457966,314,287.741969
135.719517,357,288.274893
132.530387,311,288.754225
109.548239,333,289.537328
125.611149,320,290.033416
151.652058,361,290.58103
129.855033,337,291.366148
117.545965,385,291.964528
130.620042,328,292.453432
193.10966,576,293.716677
147.718299,392,294.390939
147.010597,445,295.380666
83.815087,341,295.89235
102.885214,383,296.476125
103.380723,327,297.251429
104.006591,342,297.76129
56.46704,339,298.288846
94.92107,296,299.063086
144.241869,410,299.713985
167.056033,382,300.306943
94.363658,318,301.066289
71.383023,350,301.60076
116.521187,378,302.167664
89.9198,484,303.271042
94.952511,479,303.991338
84.004945,408,304.900871
154.211871,346,305.428867
81.212137,296,305.880926
138.906118,302,306.674163
105.461547,272,307.120649
95.736507,290,307.561476
132.193035,318,308.320898
