controller,scenario,position_rmse_m,final_error_m,mean_squared_action,success_rate,mean_duration_s
PID,nominal,0.06732709913646533,4.736892032212392e-06,0.6678503989412801,1.0,10.0
PID,wind_impulse,0.06911271298979198,1.4259262740651964e-05,0.6678831195625582,1.0,10.0
PID,mass_plus_20pct,0.4692505189499416,0.49033606052410805,0.9610382298929444,1.0,10.0
PPO,nominal,1.195755438336837,2.544232781601654,0.6678451498349508,0.0,4.37
PPO,wind_impulse,1.4184962452726912,3.89501262114022,0.6709338227907816,0.0,4.586666666666667
PPO,mass_plus_20pct,1.216622941398184,2.66698893809937,0.8864563504854838,0.0,3.1733333333333333
