#{"t_start": 1787345061.6133997, "env_id": "None"}
r,l,t
1979.760456,1000,4.563528
1991.026205,1000,6.477742
1993.922953,1000,8.465927
1992.816688,1000,10.322218
1989.680387,1000,12.127654
1988.526331,1000,13.941885
1986.922647,1000,15.761669
1989.104959,1000,17.574192
1985.531329,1000,19.379719
1981.14713,1000,21.232151
1966.348209,1000,34.003871
1963.231538,1000,35.8934
1970.131785,1000,37.883543
1977.061712,1000,39.853804
1967.315163,1000,41.758854
1948.854474,1000,43.708977
1977.309765,1000,45.583529
1975.290874,1000,47.4138
1983.928921,1000,49.23372
1974.878541,1000,51.043316
1968.70356,1000,63.723672
1975.269702,1000,65.58352
1956.422226,1000,67.485704
1975.779892,1000,69.462505
1982.394533,1000,71.319641
1972.739091,1000,73.143346
1953.152992,1000,75.016764
1982.516979,1000,76.854972
1969.977633,1000,78.698211
1947.806583,1000,80.528932
1976.535334,1000,93.07362
1981.497205,1000,94.980801
1985.015283,1000,96.950752
1958.431971,1000,99.013563
1946.471281,1000,100.903959
1941.040672,1000,102.753493
1967.500309,1000,104.635797
1958.253264,1000,106.505033
1965.653526,1000,108.40367
1957.343322,1000,110.231052
1955.927711,1000,122.943614
1971.382278,1000,124.77942
1955.254012,1000,126.330304
1952.838817,1000,128.317749
1916.834615,1000,130.197754
1931.670759,1000,132.036139
1946.565169,1000,133.883449
1951.925737,1000,135.718894
1936.183376,1000,137.603702
1958.686758,1000,139.447283
